Nombre,Vida,Tipo,Daño,Tipo daño,Velocidad,Presicion,Evasion,PA,Recompensa,Habilidad,Texto,Bosque,Pradera,Desierto,Pantano,Montaña,Nevado,Rios y lagos,Mares,Columna1
Fenix,40,Ave,60,Magico de fuego,12,18,12,20,2,Al morir el jugador que cobró la recompensa debe lanzar 1D6 y el fenix renacerá con 10 de vida por punto,-,0,0,5,0,10,0,0,0,0
Jabalí,70,Bestia,15,Fisico,10,12,8,20,1,-,"Aunque los jabalis lurianos son malhumorados y territoriales no representan una gran amenaza para los viajeros experimentados, los novatos no corren con la misma suerte.",14,20,0,0,15,10,0,0,15
Dragón de fuego,150,Dragón,50,Magico de fuego,14,22,12,30,6,"Sus golpes criticos producen un contador acumulable de ""En llamas"".",-,0,0,1,0,1,0,0,0,59
Serpiente,20,Bestia,10,Fisico,15,14,12,20,1,"Los ataques provocan ""envenenamiento"".",-,10,0,20,10,10,0,10,0,2
Mantis,1,Insecto,5,Fisico,12,14,10,20,1,-,"Bicho muy poco peligroso, pero que se vende a buen precio, los niños suelen cazarlos para hacerse de unas monedas.",10,15,5,0,10,0,0,0,60
Araña gigante,80,Insecto,10,Fisico,10,12,13,20,2,"Los ataques provocan ""envenenamiento"".",-,0,0,15,0,20,0,0,0,40
Golem,500,Roca,60,Fisico,1,8,1,25,10,"Si el dado de presicion del golem es 6 el ataque no puede fallar ni ser bloqueada, adicionalmente todas las unidades en un rango de 2 reciben 2D6 de daño magico de tipo tierra por el terremoto.",-,0,0,1,0,1,1,0,0,35
Fuego Fatuo,1,Fantasma,0,Ninguno,15,14,10,20,1,"Cuando esta criatura ataca se autodestruye provocando 30 de daño magico de fuego en un rango 2 y provocando un contador de ""en llamas"".",-,0,0,10,10,0,5,5,10,3
sectaria,80,Persona,20,TRUE,12,14,10,30,4,"Al atacar si el dado de presicion cae 5 provoca ""enamoramiento"", si cae 6 provoca ""Condena"".",Las sectarias son dicipulos de la Diosa de la discordia que a cambio de segar el dolor de los corazones rotos les da belleza y poder.,0,0,5,7,0,5,0,2,40
Ogro,200,Demonio,35,Fisico,8,14,11,20,5,"Sus golpes criticos producen ""condena 3"". Si la unidad ya esta condenada, en lugar de eso remueve un contador de condena","Aparecieron un mal día en Lurix, son criaturas que se cree que emergieron del submundo y desde entonces son una plaga que todos los reinos buscan erradicar.",0,0,0,7,0,0,0,0,19
Hada,10,Hada,10,Magico Sacro,10,4D6,17,20,1,-,"Criaturas con una triste historia, llegaron para ayudar y terminaron vagando como bestias salvajes.",8,12,0,8,0,5,5,3,7
